code,chapter_prefix,chapter_name,parent,title,description,synonyms,level
A82,A,Certain infectious and parasitic diseases,,Sepsis (category),Sepsis within Certain infectious and parasitic diseases. Category-level grouping.,sepsis|Sepsis disorder|Sepsis disease,category
A79,A,Certain infectious and parasitic diseases,,Viral infection (category),Viral infection within Certain infectious and parasitic diseases. Category-level grouping.,viral infection|Viral infection disorder|Viral infection disease,category
A25,A,Certain infectious and parasitic diseases,,Bacterial infection (category),Bacterial infection within Certain infectious and parasitic diseases. Category-level grouping.,bacterial infection|Bacterial infection disorder|Bacterial infection disease,category
A26,A,Certain infectious and parasitic diseases,,Mycosis (category),Mycosis within Certain infectious and parasitic diseases. Category-level grouping.,mycosis|Mycosis disorder|Mycosis disease,category
A73,A,Certain infectious and parasitic diseases,,Parasitic disease (category),Parasitic disease within Certain infectious and parasitic diseases. Category-level grouping.,parasitic disease|Parasitic disease disorder|Parasitic disease disease,category
C19,C,Neoplasms,,Malignant neoplasm of organ (category),Malignant neoplasm of organ within Neoplasms. Category-level grouping.,malignant neoplasm of organ|Malignant neoplasm of organ disorder|Malignant neoplasm of organ disease,category
C76,C,Neoplasms,,Benign neoplasm (category),Benign neoplasm within Neoplasms. Category-level grouping.,benign neoplasm|Benign neoplasm disorder|Benign neoplasm disease,category
C23,C,Neoplasms,,In situ neoplasm (category),In situ neoplasm within Neoplasms. Category-level grouping.,in situ neoplasm|In situ neoplasm disorder|In situ neoplasm disease,category
C25,C,Neoplasms,,Neoplasm of uncertain behavior (category),Neoplasm of uncertain behavior within Neoplasms. Category-level grouping.,neoplasm of uncertain behavior|Neoplasm of uncertain behavior disorder|Neoplasm of uncertain behavior disease,category
E25,E,"Endocrine, nutritional and metabolic diseases",,Type 2 diabetes (category),"Type 2 diabetes within Endocrine, nutritional and metabolic diseases. Category-level grouping.",type 2 diabetes|Type 2 diabetes disorder|Type 2 diabetes disease,category
E90,E,"Endocrine, nutritional and metabolic diseases",,Thyroid disorder (category),"Thyroid disorder within Endocrine, nutritional and metabolic diseases. Category-level grouping.",thyroid disorder|Thyroid disorder disorder|Thyroid disorder disease,category
E19,E,"Endocrine, nutritional and metabolic diseases",,Lipid disorder (category),"Lipid disorder within Endocrine, nutritional and metabolic diseases. Category-level grouping.",lipid disorder|Lipid disorder disorder|Lipid disorder disease,category
E22,E,"Endocrine, nutritional and metabolic diseases",,Obesity (category),"Obesity within Endocrine, nutritional and metabolic diseases. Category-level grouping.",obesity|Obesity disorder|Obesity disease,category
E89,E,"Endocrine, nutritional and metabolic diseases",,Electrolyte imbalance (category),"Electrolyte imbalance within Endocrine, nutritional and metabolic diseases. Category-level grouping.",electrolyte imbalance|Electrolyte imbalance disorder|Electrolyte imbalance disease,category
F64,F,Mental and behavioural disorders,,Major depressive disorder (category),Major depressive disorder within Mental and behavioural disorders. Category-level grouping.,major depressive disorder|Major depressive disorder disorder|Major depressive disorder disease,category
F62,F,Mental and behavioural disorders,,Anxiety disorder (category),Anxiety disorder within Mental and behavioural disorders. Category-level grouping.,anxiety disorder|Anxiety disorder disorder|Anxiety disorder disease,category
F91,F,Mental and behavioural disorders,,Substance use disorder (category),Substance use disorder within Mental and behavioural disorders. Category-level grouping.,substance use disorder|Substance use disorder disorder|Substance use disorder disease,category
F26,F,Mental and behavioural disorders,,Schizophrenia spectrum (category),Schizophrenia spectrum within Mental and behavioural disorders. Category-level grouping.,schizophrenia spectrum|Schizophrenia spectrum disorder|Schizophrenia spectrum disease,category
G13,G,Diseases of the nervous system,,Epilepsy (category),Epilepsy within Diseases of the nervous system. Category-level grouping.,epilepsy|Epilepsy disorder|Epilepsy disease,category
G59,G,Diseases of the nervous system,,Parkinsonism (category),Parkinsonism within Diseases of the nervous system. Category-level grouping.,parkinsonism|Parkinsonism disorder|Parkinsonism disease,category
G97,G,Diseases of the nervous system,,Migraine (category),Migraine within Diseases of the nervous system. Category-level grouping.,migraine|Migraine disorder|Migraine disease,category
G64,G,Diseases of the nervous system,,Neuropathy (category),Neuropathy within Diseases of the nervous system. Category-level grouping.,neuropathy|Neuropathy disorder|Neuropathy disease,category
I37,I,Diseases of the circulatory system,,Hypertensive disease (category),Hypertensive disease within Diseases of the circulatory system. Category-level grouping.,hypertensive disease|Hypertensive disease disorder|Hypertensive disease disease,category
I55,I,Diseases of the circulatory system,,Ischemic heart disease (category),Ischemic heart disease within Diseases of the circulatory system. Category-level grouping.,ischemic heart disease|Ischemic heart disease disorder|Ischemic heart disease disease,category
I38,I,Diseases of the circulatory system,,Heart failure (category),Heart failure within Diseases of the circulatory system. Category-level grouping.,heart failure|Heart failure disorder|Heart failure disease,category
I66,I,Diseases of the circulatory system,,Cerebrovascular disease (category),Cerebrovascular disease within Diseases of the circulatory system. Category-level grouping.,cerebrovascular disease|Cerebrovascular disease disorder|Cerebrovascular disease disease,category
I22,I,Diseases of the circulatory system,,Arrhythmia (category),Arrhythmia within Diseases of the circulatory system. Category-level grouping.,arrhythmia|Arrhythmia disorder|Arrhythmia disease,category
