encounter_id,split
1,test
2,train
3,train
4,val
5,test
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,test
14,train
15,train
16,train
17,test
18,val
19,test
20,train
21,train
22,train
23,val
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,val
35,train
36,train
37,train
38,train
39,train
40,train
41,val
42,train
43,val
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,val
55,train
56,train
57,val
58,train
59,train
60,train
61,train
62,train
63,train
64,test
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,val
73,train
74,test
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,test
87,val
88,train
89,test
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,val
98,train
99,train
100,train
101,train
102,val
103,train
104,train
105,train
106,val
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,test
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,test
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,val
132,train
133,train
134,val
135,test
136,val
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,test
151,train
152,train
153,train
154,val
155,train
156,train
157,train
158,test
159,val
160,train
161,train
162,train
163,val
164,val
165,test
166,test
167,test
168,val
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,test
178,train
179,test
180,train
181,train
182,train
183,test
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,test
192,train
193,train
194,val
195,train
196,test
197,train
198,val
199,test
200,train
201,val
202,train
203,test
204,test
205,train
206,test
207,train
208,train
209,train
210,train
211,test
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,test
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,test
255,train
256,train
257,train
258,test
259,train
260,train
261,train
262,train
263,val
264,train
265,train
266,test
267,train
268,train
269,train
270,val
271,train
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,test
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,val
293,train
294,val
295,train
296,train
297,train
298,train
299,train
300,test
301,train
302,train
303,val
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,train
312,train
313,train
314,val
315,test
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
325,train
326,val
327,train
328,train
329,train
330,train
331,train
332,test
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,test
343,train
344,train
345,train
346,test
347,train
348,train
349,train
350,train
351,test
352,val
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,val
363,train
364,test
365,train
366,test
367,train
368,train
369,train
370,val
371,train
372,train
373,test
374,train
375,train
376,train
377,train
378,train
379,val
380,test
381,train
382,train
383,train
384,train
385,train
386,train
387,train
388,train
389,train
390,train
391,train
392,train
393,test
394,train
395,test
396,train
397,train
398,train
399,train
400,train
401,train
402,test
403,train
404,train
405,train
406,train
407,train
408,train
409,train
410,val
411,train
412,train
413,train
414,val
415,train
416,val
417,train
418,train
419,test
420,val
421,val
422,val
423,test
424,train
425,val
426,train
427,val
428,train
429,test
430,test
431,val
432,train
433,train
434,train
435,train
436,train
437,val
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,test
452,train
453,train
454,train
455,test
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,train
464,train
465,test
466,val
467,train
468,train
469,train
470,train
471,test
472,train
473,train
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,val
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
491,train
492,train
493,train
494,train
495,train
496,val
497,val
498,train
499,train
500,train
501,val
502,test
503,train
504,train
505,train
506,train
507,train
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,val
516,val
517,train
518,train
519,val
520,test
521,test
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,val
541,train
542,train
543,val
544,train
545,train
546,val
547,train
548,train
549,train
550,train
551,train
552,train
553,train
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,val
563,train
564,val
565,train
566,train
567,train
568,val
569,train
570,test
571,train
572,train
573,train
574,train
575,train
576,train
577,train
578,train
579,train
580,val
581,train
582,train
583,train
584,train
585,train
586,train
587,test
588,train
589,train
590,train
591,train
592,test
593,val
594,val
595,train
596,train
597,train
598,train
599,train
600,train
601,train
602,val
603,train
604,train
605,train
606,train
607,test
608,train
609,val
